age,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
35,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1
49,cellular,oct,thu,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5
29,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
32,cellular,nov,mon,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8
39,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
28,cellular,may,tue,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1
34,cellular,may,wed,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1
31,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
31,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
38,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
33,telephone,jun,fri,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
41,telephone,jun,tue,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
46,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
36,telephone,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
38,cellular,nov,tue,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8
25,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
30,telephone,jul,tue,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
43,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
31,telephone,may,wed,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
53,cellular,jul,tue,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
52,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
58,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
45,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1
38,telephone,jul,thu,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1
34,telephone,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6
47,cellular,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2
51,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
31,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
39,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
41,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
41,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
53,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
35,cellular,jul,mon,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
58,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
25,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
45,cellular,jul,wed,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
50,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0
29,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
45,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1
38,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1
24,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0
41,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
58,cellular,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2
34,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
34,cellular,nov,mon,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.05,4963.6
53,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
32,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
28,cellular,aug,thu,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2
33,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
41,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
31,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
40,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
53,cellular,nov,wed,1,999,1,failure,-3.4,92.649,-30.1,0.716,5017.5
40,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
82,telephone,sep,tue,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6
28,cellular,jul,mon,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1
32,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
31,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
47,cellular,jul,tue,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
46,cellular,nov,mon,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6
32,cellular,nov,mon,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6
52,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8
45,cellular,oct,fri,3,6,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6
32,cellular,may,fri,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1
71,cellular,aug,thu,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6
49,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
46,telephone,jun,wed,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
38,cellular,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
57,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
41,cellular,may,mon,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1
44,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
40,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0
57,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
42,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
51,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
45,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
56,cellular,may,mon,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1
44,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
50,cellular,may,mon,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1
54,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
51,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
42,telephone,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
47,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
35,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
41,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
38,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
32,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
21,cellular,aug,tue,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.884,5076.2
46,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
42,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
55,cellular,aug,wed,13,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
30,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
53,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
35,cellular,nov,wed,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
43,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
32,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
41,cellular,may,fri,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1
28,cellular,may,tue,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1
24,cellular,jul,thu,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
43,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
30,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
55,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
51,cellular,jul,fri,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1
22,cellular,jul,fri,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1
32,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
39,telephone,jun,mon,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
52,cellular,jul,tue,8,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
59,telephone,apr,tue,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1
31,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
76,cellular,nov,mon,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5
44,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
30,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
32,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
41,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1
33,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
59,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
33,cellular,may,fri,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1
41,cellular,mar,wed,6,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,5099.1
55,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
45,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
31,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1
53,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
35,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1
45,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1
34,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
42,telephone,apr,mon,3,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
44,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
50,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
40,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
25,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1
29,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
57,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
37,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1
29,cellular,aug,tue,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
60,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
42,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
48,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
35,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1
46,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
57,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
28,cellular,apr,thu,4,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1
34,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
30,cellular,nov,tue,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
27,cellular,aug,wed,1,999,0,nonexistent,-1.7,94.027,-38.3,0.9,4991.6
23,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
59,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
31,cellular,aug,mon,1,999,2,failure,-1.7,94.027,-38.3,0.898,4991.6
52,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
24,telephone,may,fri,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
35,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8
59,cellular,jun,thu,4,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6
28,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
37,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
46,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1
26,cellular,jul,fri,3,6,2,success,-1.7,94.215,-40.3,0.861,4991.6
40,cellular,aug,thu,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
40,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1
28,cellular,may,thu,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1
48,telephone,may,thu,7,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
33,telephone,may,thu,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
56,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
24,telephone,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1
39,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0
40,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
25,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
48,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8
32,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
30,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0
41,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
54,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
29,cellular,mar,mon,1,999,0,nonexistent,-1.8,93.369,-34.8,0.639,5008.7
38,cellular,may,wed,1,11,1,success,-1.8,92.89299999999999,-46.2,1.281,5099.1
38,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1
38,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1
33,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
29,cellular,may,fri,10,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1
60,telephone,jul,tue,15,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
36,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
25,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
54,cellular,apr,tue,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
39,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1
43,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
81,cellular,may,mon,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.354,5099.1
43,cellular,may,mon,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.264,5099.1
34,cellular,jun,wed,1,6,2,success,-1.7,94.055,-39.8,0.7040000000000001,4991.6
42,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
30,cellular,nov,tue,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8
24,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
51,cellular,aug,fri,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
42,cellular,may,tue,5,10,1,success,-1.8,92.89299999999999,-46.2,1.344,5099.1
38,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
51,telephone,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
52,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8
49,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
52,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
27,cellular,jul,thu,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
44,cellular,may,tue,8,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1
33,cellular,may,wed,7,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1
30,cellular,jul,tue,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
36,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
49,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
48,cellular,may,thu,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1
48,cellular,aug,fri,8,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
42,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
28,cellular,may,wed,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
52,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
23,cellular,jul,tue,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
36,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0
43,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
31,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1
49,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
47,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
31,cellular,aug,mon,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
46,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
54,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1
35,cellular,may,thu,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1
37,telephone,may,thu,10,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
57,cellular,may,fri,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1
39,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
43,cellular,may,wed,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
47,cellular,may,wed,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1
37,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
35,cellular,apr,mon,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1
37,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1
36,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
50,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
37,cellular,jul,tue,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
45,cellular,may,fri,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1
30,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8
51,cellular,may,wed,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
31,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
40,cellular,jul,fri,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
58,cellular,apr,thu,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1
49,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
39,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0
48,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
54,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1
51,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1
36,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0
41,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
27,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0
26,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0
36,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
